동명,주소,경도,위도,latitude,longitude
왕십리도선동,마장로23길3,127.0320729,37.5676169,37.5668768511866,127.031983828387
왕십리도선동,무학로 8길8 도선어린이공원 자율방범대 초소 앞,127.0317974,37.56527213,37.5655034189462,127.031477401474
왕십리도선동,무학로 10길 33,127.034551,37.56583223,37.5658604621528,127.034458386812
왕십리도선동,왕십리로26길30,127.0331728,37.56573239,37.5657433857579,127.033331989857
왕십리도선동,무학로4길26-1,127.0337581,37.56459471,37.5645312313407,127.033804798203
왕십리제2동,왕십리로385,127.027329,37.56458512,37.5646518787394,127.027547633626
왕십리제2동,무학봉15길 22,127.0306816,37.56308188,37.5632374584432,127.030620881612
왕십리제2동,무학봉25길 5-1,127.0314764,37.56240367,37.5623565188884,127.031440764095
왕십리제2동,무학봉길 69,127.0304487,37.56104006,37.5610827530292,127.030513042882
왕십리제2동,무학봉11길14,127.0284173,37.56156765,37.5615305970153,127.028516458868
왕십리제2동,무학봉12길6-9,127.0290308,37.56018897,37.5601472635942,127.029021848317
마장동,마조로16길29,127.0445058,37.56561829,37.565512216479,127.044224363188
마장동,마조로16길8,127.042844,37.56419758,37.5641181138556,127.042732760121
마장동,마장로44길7,127.0455677,37.56678693,37.5668901266209,127.045600557501
마장동,마장로29길39,127.036658,37.56941868,37.5695200150324,127.036624693814
마장동,청계천로10가길 64-29 차고셔터 앞,127.035725,37.5711027,37.5710983725858,127.035762792115
마장동,청계천로10나길 16,127.0340291,37.56953322,37.5695223321784,127.033998692349
마장동,"청계천로12길 22-2,맞은편 인도",127.034906,37.56857566,37.5685701882785,127.034829324084
마장동,"마장로 27가길 15, 예지 어린이집 앞",127.0353607,37.56677353,37.5667976880864,127.035339101236
마장동,마조로15길 24,127.0392132,37.56370104,37.5637670157444,127.039031832216
마장동,마장로 33길 9 맞은편 주차장,127.0377463,37.56692258,37.5669171836351,127.037596519892
마장동,마조로14가길28,127.0438374,37.56453284,37.5644300017565,127.043816929579
마장동,사근동 11길 47,127.047049,37.56440771,37.5644516969839,127.046914077346
마장동,마조로14길2,127.0418643,37.56319783,37.5631446652325,127.042013592573
사근동,사근동길 14-11,127.0428955,37.56029062,37.5602989087565,127.042900802546
사근동,사근동 11나길 15 그린빌라 맞은편 사근 어린이공원,127.0475605,37.56346484,37.5636141811036,127.047464653334
사근동,사근동12길 1,127.0484248,37.56099576,37.5610194627132,127.048422675528
사근동,사근동10길 20,127.0493042,37.56012368,37.5601050995534,127.049153342298
사근동,마조로5길 12-6,127.0397433,37.56014306,37.5601347668987,127.039755537161
사근동,마조로5길 4-16,127.0408443,37.56073734,37.5606380369973,127.040889087947
사근동,살곶이길350,127.0409751,37.55661523,37.5566082896921,127.04099802391
사근동,사근동11길 15,127.0479446,37.56221455,37.5621869159604,127.047902673629
사근동,사근동길 24,127.0437163,37.56081515,37.5607891877768,127.043755716638
사근동,사근동8길 7 옆골목,127.0468455,37.56027785,37.5603067749468,127.04685794386
사근동,사근동11다길 19,127.0474223,37.56415867,37.5640700579252,127.047308179412
사근동,마조로 1길 42 6번출구 앞,127.0394638,37.56123561,,
행당제1동,고산자로10길 18 동주민센터 앞,127.0362112,37.55831517,37.5585097159309,127.036151539458
행당제1동,왕십리로21다길 20,127.0323354,37.55947858,37.5594938274018,127.032273693899
행당제1동,행당로 15길 8,127.0318031,37.55863179,37.5587509103875,127.031775049188
행당제1동,서울특별시 성동구 무학봉28길 26 앞 (정비후 운영 재개 예정),127.0345997,37.56113352,37.5611529662397,127.034355713056
행당제2동,왕십리로21길 56-14,127.0290589,37.55972495,37.5596935074921,127.029078941286
행당제2동,왕십리로21마길 28,127.0307263,37.56023233,37.5602323369373,127.030726267851
행당제2동,행당로11길 20,127.0303717,37.55939351,37.5593900850121,127.03037800876
응봉동,"독서당로63길 41, 맞은편",127.0305192,37.55341985,37.5533901949676,127.030252217671
