번호,시도명,시군구명,동읍면,배출장소,배출장소유형,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,데이터기준일자
1,강원특별자치도,정선군,남면,자미원길 23,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
2,강원특별자치도,정선군,남면,별어곡2길 21,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
3,강원특별자치도,정선군,남면,별어곡2길37,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
4,강원특별자치도,정선군,남면,별어곡2길37,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
5,강원특별자치도,정선군,남면,별어곡2길37,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
6,강원특별자치도,정선군,신동읍,새골길 70,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
7,강원특별자치도,정선군,신동읍,새골3길 100,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
8,강원특별자치도,정선군,신동읍,조동8길 3,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
9,강원특별자치도,정선군,신동읍,조동1길 154,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
10,강원특별자치도,정선군,신동읍,조동1길 100-43,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
11,강원특별자치도,정선군,신동읍,예미1길 21-16,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
